replication,current_avrage_queue,current_finished_precent,current_tired_leaving_precent,current_avg_waiting_time,alternative1_avrage_queue,alternative1_finished_precent,alternative1_tired_leaving_precent,alternative1_avg_waiting_time,alternative2_avrage_queue,alternative2_finished_precent,alternative2_tired_leaving_precent,alternative2_avg_waiting_time
1,229.1596456,0.065388952,0.120567376,141.7033246,83.83874173,0.08305275,0.175,92.80024121,55.44620347,0.077864294,0.067510549,94.17500141
2,227.5500411,0.069686411,0.174603175,139.8879691,89.63434344,0.079470199,0.128888889,103.4006189,68.15986123,0.078006501,0.076628352,100.1095486
3,226.6520231,0.065241845,0.118110236,144.4514849,77.17447794,0.080841639,0.126086957,113.4267022,48.17792857,0.082285714,0.080152672,97.39471833
4,240.4978396,0.058426966,0.105263158,146.7251488,78.4450035,0.080786026,0.144736842,108.530353,52.74973782,0.076352068,0.079497908,96.3451792
5,218.0797231,0.072748268,0.143884892,140.5509165,79.54372061,0.087216249,0.152263374,92.97846001,52.73942469,0.081564246,0.071698113,91.32918342
6,225.3758223,0.069196429,0.159090909,138.71033,87.11294685,0.074035454,0.101851852,110.6390772,57.90719747,0.078539823,0.090163934,102.222728
7,230.8282306,0.08041958,0.152173913,132.0130548,85.93101136,0.083044983,0.145228216,95.82746213,48.30379505,0.082654249,0.045454545,97.65160808
8,249.7462493,0.05704698,0.096296296,146.8082312,85.1820973,0.075949367,0.136792453,115.3007486,69.68191038,0.074736842,0.064655172,105.7956423
9,217.6643945,0.069444444,0.131386861,138.6264704,80.0525635,0.081610446,0.103286385,99.64913446,65.21085841,0.076120959,0.075313808,105.4203418
10,238.3412448,0.05952381,0.165289256,150.8622972,84.74149373,0.079694323,0.147465438,102.3811384,59.32228763,0.077595628,0.073469388,95.67883072
11,271.379261,0.0554371,0.166666667,145.415637,73.54032998,0.084883721,0.159663866,100.4151731,61.67197447,0.07742639,0.074626866,86.56882803
12,236.0358886,0.070114943,0.163793103,137.4395757,67.13561352,0.083615819,0.141509434,105.0733656,56.56645136,0.082568807,0.083333333,85.19888449
13,223.695989,0.065315315,0.165413534,137.2590646,87.04856623,0.08,0.128440367,100.9813683,64.71652623,0.0806271,0.093984962,84.18090038
14,241.9845216,0.066292135,0.147540984,144.4021549,85.56805328,0.08598351,0.163793103,95.85887194,58.35127356,0.080131723,0.083682008,95.09868511
15,222.7235699,0.068693694,0.18705036,137.9840497,71.7163057,0.084459459,0.138392857,106.4837017,57.45675703,0.079034029,0.0562249,94.41138292
16,236.9844004,0.060475162,0.165217391,143.8011761,83.44976734,0.078767123,0.143478261,98.01680324,49.59586277,0.078774617,0.106463878,97.78693218
17,228.7040614,0.07079646,0.25984252,141.7761886,67.95150147,0.084862385,0.113537118,103.5576692,56.11528915,0.07938258,0.058823529,102.6815574
18,225.1207489,0.085054678,0.203821656,129.5184675,82.18520805,0.086605081,0.145454545,104.1902612,55.42559599,0.079034029,0.0651341,96.29176514
19,219.8228916,0.076655052,0.198412698,139.6849192,78.8815649,0.080786026,0.158371041,107.540017,59.8667588,0.083333333,0.081081081,98.33696858
20,228.2369372,0.068366165,0.086330935,135.9680967,85.6189858,0.079520697,0.154205607,108.3021913,61.09342901,0.079822616,0.081712062,90.16729756
21,220.2008236,0.066743383,0.12,140.992257,74.54456262,0.087209302,0.132743363,99.99622406,41.61595642,0.076759062,0.073469388,101.1036535
22,227.2077425,0.059139785,0.109243697,153.0062735,70.79062155,0.083048919,0.12037037,103.2004497,47.91383849,0.079434168,0.06122449,100.4778848
23,255.9283554,0.055036345,0.151260504,149.5692762,92.47733597,0.080558539,0.100456621,97.0960881,57.29383924,0.080808081,0.073359073,101.0675416
24,261.9531295,0.053418803,0.120300752,146.1960509,81.75124928,0.079520697,0.140350877,108.6772999,54.2186313,0.082004556,0.099630996,94.60890953
25,234.4708111,0.060307018,0.118110236,146.9258125,81.66286996,0.083427283,0.10619469,104.1008991,64.24036455,0.076502732,0.053061224,101.6471249
26,228.7411274,0.066088841,0.150793651,142.0707195,82.3629927,0.081655481,0.155555556,99.71211667,53.54662171,0.078688525,0.065306122,97.69661695
27,228.2939583,0.06627907,0.184615385,143.2510274,97.7292445,0.086306099,0.1875,86.74484945,49.77176275,0.085580305,0.081081081,98.60462448
28,259.2572394,0.051612903,0.099099099,149.8684255,76.49460459,0.079956188,0.134259259,116.1194174,50.93443548,0.081112399,0.075,88.95574558
29,240.5776474,0.065668203,0.138686131,140.2302426,69.518795,0.083427283,0.125560538,102.400654,51.20642737,0.080316742,0.09486166,102.9364987
30,231.647033,0.067757009,0.162790698,134.3090188,73.7961445,0.082866741,0.167364017,106.2054746,61.62405476,0.082949309,0.058608059,88.28192357
31,241.4066096,0.071261682,0.128787879,132.8262709,74.7318866,0.081291759,0.136585366,113.3371053,54.90066982,0.077577046,0.06504065,106.9969378
32,237.6718947,0.063806381,0.109375,142.2016822,76.75090769,0.08276644,0.147982063,94.79401733,60.82489174,0.079207921,0.059760956,98.64210171
33,240.2870144,0.064270153,0.198412698,144.1866173,76.39062027,0.085549133,0.122881356,100.3121576,54.16047872,0.07991121,0.079497908,102.495239
34,244.2785268,0.054255319,0.100840336,150.7480816,83.7325012,0.083715596,0.103448276,104.9210728,43.71222108,0.085131894,0.058823529,86.48545518
35,226.820414,0.068181818,0.109489051,146.717449,81.79291438,0.085714286,0.165217391,101.0561799,52.07909705,0.079954955,0.071969697,91.63961425
36,242.8640056,0.061674009,0.15037594,142.741621,71.75081335,0.084101382,0.16017316,105.9580726,59.03704718,0.079646018,0.066929134,103.1711998
37,232.1202292,0.061356297,0.167832168,145.2844399,90.49301021,0.07782516,0.135135135,103.7948972,50.00600457,0.082959641,0.082397004,93.72448065
38,246.715148,0.063973064,0.136,139.2060017,85.39562688,0.085180863,0.162280702,93.81318059,58.63008552,0.087635054,0.087452471,89.27145083
39,223.9185415,0.062913907,0.134920635,142.588708,73.79817047,0.077812829,0.130232558,114.549585,72.47370354,0.078579117,0.104417671,85.4956231
40,229.1503622,0.065701559,0.122137405,144.1387796,91.50089575,0.077342048,0.14354067,106.598733,54.05473152,0.077342048,0.056910569,103.8649311
41,247.1084026,0.050847458,0.110169492,146.7363496,87.56616532,0.081229418,0.140096618,101.7389888,62.19177828,0.079295154,0.051587302,95.48505007
42,242.817707,0.054054054,0.140495868,147.6245702,78.27376993,0.080173348,0.14084507,103.4273406,56.12944536,0.076754386,0.093117409,101.7055237
43,238.2214587,0.064261556,0.115702479,142.2256067,82.07265192,0.078494624,0.096153846,108.6449868,47.7597963,0.077864294,0.078431373,101.9110822
44,234.675592,0.07980653,0.171428571,135.9446476,73.38759731,0.086146682,0.127118644,98.14514563,54.25715601,0.079646018,0.070866142,92.25399292
45,232.1428994,0.064876957,0.1,140.7638579,71.65335031,0.082774049,0.141025641,97.99113272,56.84779358,0.080989876,0.058091286,100.4558397
46,230.8083164,0.064876957,0.123076923,143.598824,77.648135,0.076756757,0.114893617,106.9615822,57.33139488,0.081264108,0.05904059,101.0301756
